Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
11/7/2025,164.92,286.86,704.95,211.16,503.32,313.51,717.51,180.19,1101.64,162,230.4,3355.4839,225.02,94.4,970.33,72.63,25.65,54.22,623.62,11.78
10/7/2025,164.1,288.19,709.12,212.41,501.48,309.87,727.24,177.62,1104.05,164.06,229.76,3322.6924,222.26,94.86,970.17,74.62,25.78,54.64,625.82,11.91
09/7/2025,162.88,283.16,696.56,211.14,503.51,295.88,732.78,176.62,1088.75,158.68,231.84,3313.3472,222.54,96.81,982.09,73.56,25.56,55.08,624.06,11.83
08/7/2025,160,282.78,697.28,210.01,496.62,297.81,720.67,174.36,1075.02,156.35,227.86,3300.4451,219.36,97.09,985.84,73.92,25.62,55.71,620.34,11.68
07/7/2025,158.24,291.97,710.93,209.95,497.72,293.94,718.35,176.79,1075.97,152.99,229.17,3335.241,223.47,99.35,992.18,76.53,25.24,55.75,620.68,11.59
03/7/2025,159.34,296,723.68,213.55,498.84,315.35,719.01,179.53,1082.15,155.13,234.8,3326.3076,223.41,98.36,987.02,76.39,25.38,57.36,625.34,11.81
02/7/2025,157.25,292,715.89,212.44,491.09,315.65,713.57,178.64,1070.57,153.56,233.6,3357.0762,219.92,97.61,982.36,76.39,25.32,57.45,620.45,11.77
01/7/2025,153.3,290.41,706.46,207.82,492.05,300.71,719.22,175.84,1054.27,152.77,224.68,3338.8276,220.46,98.24,985.96,73.41,25.04,57.35,617.65,11.35
30/6/2025,157.99,289.91,707.75,205.17,497.41,317.66,738.09,176.23,1049.25,149.58,226.49,3303.312,219.39,97.78,989.94,71.04,24.24,55.94,617.85,10.85
27/6/2025,157.75,287.11,690.81,201.08,495.94,323.63,733.63,178.53,1047.82,151.11,228.57,3272.9983,223.3,97.27,985.14,72.04,24.19,55.24,614.91,10.8
26/6/2025,155.02,288.75,687.16,201,497.45,325.78,726.09,173.54,1030.79,148.18,224.01,3327.7891,217.12,96.02,982.91,62.54,24.24,55.02,611.87,10.63
25/6/2025,154.31,284.06,669.87,201.56,492.27,327.55,708.68,170.68,1018.08,143.57,222.74,3332.1125,211.99,97.26,986.54,60.83,24.26,54.64,607.12,10.48
24/6/2025,147.9,281.26,662.11,200.3,490.11,340.47,712.2,166.77,1004.97,144.05,220.09,3323.75,212.77,98,1001.92,61.42,24.31,55.51,606.78,10.73
23/6/2025,144.17,278.27,646.88,201.5,486,348.68,698.53,165.19,986.3,138.32,210.32,3368.5085,208.47,97.87,1004.48,60.78,24.03,55.11,600.15,10.75
20/6/2025,143.85,275,640.8,201,477.4,322.16,682.35,166.64,974.44,137.69,209.51,3367.98,209.69,96.12,980.29,59.79,23.97,54.41,594.28,10.59
18/6/2025,145.48,273.96,635.24,196.58,480.24,322.05,695.77,173.32,979.52,137.49,213.5,3368.7351,212.52,95.09,974.9,59.51,23.88,54.33,597.44,10.43
